"Date","Price","Open","High","Low","Vol.","Change %"
"10/21/2024","8,654.39","8,798.31","8,807.85","8,642.18","2.13B","-1.58%"
"10/18/2024","8,793.61","9,018.59","9,070.02","8,783.51","2.70B","-2.32%"
"10/17/2024","9,002.34","8,948.59","9,060.13","8,927.06","2.70B","0.52%"
"10/16/2024","8,956.03","8,849.06","8,963.81","8,779.27","2.36B","1.08%"
"10/15/2024","8,860.30","8,709.81","8,890.29","8,685.23","2.80B","1.85%"
"10/14/2024","8,699.19","8,885.45","8,887.19","8,680.72","2.45B","-1.99%"
"10/11/2024","8,876.22","8,987.04","9,080.68","8,836.95","2.51B","-0.98%"
"10/10/2024","8,964.10","9,137.30","9,176.41","8,964.10","2.47B","-1.84%"
"10/09/2024","9,132.30","9,043.91","9,132.30","8,901.22","2.60B","0.97%"
"10/08/2024","9,044.89","9,040.75","9,152.68","8,978.13","3.16B","0.15%"
"10/07/2024","9,031.64","9,155.77","9,195.49","9,005.39","2.36B","-0.85%"
"10/04/2024","9,109.34","8,953.20","9,109.34","8,850.42","2.82B","2.37%"
"10/03/2024","8,898.23","9,026.49","9,159.33","8,869.84","3.05B","-1.27%"
"10/02/2024","9,012.87","9,320.46","9,339.22","9,012.87","2.88B","-3.62%"
"10/01/2024","9,351.22","9,673.56","9,680.84","9,238.71","3.50B","-3.25%"
"09/30/2024","9,665.78","9,747.67","9,757.93","9,643.34","2.50B","-1.14%"
"09/27/2024","9,777.46","9,814.69","9,820.48","9,696.01","2.21B","-0.53%"
"09/26/2024","9,829.19","9,953.28","10,049.52","9,806.69","2.99B","-0.62%"
"09/25/2024","9,891.00","10,033.67","10,064.06","9,886.49","3.36B","-1.38%"
"09/24/2024","10,029.73","9,911.41","10,108.15","9,878.57","3.61B","1.44%"
"09/23/2024","9,887.75","9,959.21","9,980.91","9,857.72","2.67B","-0.13%"
"09/20/2024","9,900.25","9,985.03","10,008.72","9,887.41","3.13B","-0.76%"
"09/19/2024","9,975.61","9,872.85","9,980.81","9,851.95","2.81B","2.06%"
"09/18/2024","9,774.49","9,753.17","9,827.33","9,736.13","2.27B","0.17%"
"09/17/2024","9,758.14","9,611.59","9,786.13","9,611.59","2.47B","1.89%"
"09/16/2024","9,577.46","9,686.89","9,720.23","9,567.10","2.31B","-1.12%"
"09/13/2024","9,685.49","9,537.20","9,685.49","9,427.25","3.00B","1.73%"
"09/12/2024","9,521.04","9,532.38","9,559.96","9,274.55","3.05B","1.08%"
"09/11/2024","9,419.66","9,610.01","9,643.46","9,413.41","2.62B","-2.12%"
"09/10/2024","9,624.04","9,737.17","9,788.36","9,588.02","2.49B","-0.78%"
"09/09/2024","9,699.56","9,795.24","9,838.01","9,699.56","2.23B","-0.73%"
"09/06/2024","9,771.16","9,936.20","9,980.96","9,768.60","2.35B","-1.67%"
"09/05/2024","9,936.76","10,030.51","10,040.28","9,897.19","2.68B","-0.48%"
"09/04/2024","9,984.93","9,929.83","9,988.43","9,879.11","2.54B","-0.37%"
"09/03/2024","10,021.80","10,130.47","10,159.21","9,983.80","2.71B","-0.87%"
"09/02/2024","10,110.18","9,879.82","10,116.31","9,879.82","2.60B","2.82%"
"08/29/2024","9,833.22","9,762.37","9,888.40","9,705.48","2.98B","0.78%"
"08/28/2024","9,757.16","9,757.77","9,836.58","9,735.38","2.25B","0.09%"
"08/27/2024","9,748.75","9,561.73","9,748.75","9,523.25","2.55B","1.91%"
"08/26/2024","9,565.76","9,739.80","9,749.15","9,553.17","2.60B","-1.06%"
"08/23/2024","9,668.10","9,927.42","9,935.21","9,651.21","2.27B","-2.55%"
"08/22/2024","9,921.40","9,979.48","10,031.07","9,869.61","2.68B","0.17%"
"08/21/2024","9,904.79","9,966.57","10,080.73","9,897.58","2.57B","-0.78%"
"08/20/2024","9,982.28","10,038.19","10,109.96","9,950.89","2.77B","-0.72%"
