Fon Kodu,Risk Değeri,Fon Getiri (%),Fon Volatilite (%),Ölçüt Getiri (%),Ölçüt Volatilite (%),Negatif Gün Sayısı,Negatif Gün Oranı (%),Sharpe,Düzeltilmiş Sharpe,Beta,Alpha,Treynor,Sortino,RMD% (1 hafta),Downside Risk,Değişim Katsayısı
HDS,6,43.2297,8.3701,53.0027,8.4731,93,37.50,4.3266,1.7864,0.0565,0.1339,0.0000,5.5466,2.7428,4.9376,0.2311
HEA,6,83.0312,15.9804,73.0432,19.9139,95,38.31,3.8015,5.5457,0.5488,0.1174,0.0000,6.6045,5.2366,8.6324,0.2631
HEB,4,20.5040,10.3015,24.8596,8.9096,106,42.74,1.8250,-1.1459,1.1108,-0.0224,16.9253,1.9511,3.3757,7.5825,0.5479
HEC,4,28.1335,7.2128,55.3076,8.4648,102,41.13,3.4252,-2.0403,0.0151,0.0953,0.0000,4.1038,2.3635,4.8260,0.2920
HED,6,34.7133,4.8873,34.7390,5.3562,78,31.45,6.2129,2.5990,0.7778,0.0272,39.0393,10.7234,1.6015,2.2772,0.1610
HEE,3,22.2283,6.3169,20.3989,6.2033,95,38.31,3.1587,-0.0475,0.9191,0.0126,21.7104,3.8106,2.0700,4.2851,0.3166
HEG,2,53.6971,1.7130,35.5183,1.2877,0,0.00,25.6554,242.9947,0.6930,0.0892,63.4157,,0.5613,0.0000,0.0390
HEI,3,26.0795,5.6201,42.8475,1.3285,88,35.48,4.1405,0.5234,0.6591,-0.0030,35.3065,4.9348,1.8416,3.5931,0.2415
HEK,4,23.2665,9.1685,21.6008,7.7430,108,43.55,2.2758,0.2403,1.1370,-0.0050,18.3509,2.7845,3.0044,6.2905,0.4394
HEL,1,59.1381,1.8906,52.9256,5.1619,0,0.00,25.1345,229.4001,0.1070,0.1701,0.0000,,0.6195,0.0000,0.0398
HEP,2,58.6487,1.9582,56.4851,1.5182,3,1.21,24.1014,194.3741,1.1331,-0.0180,41.6524,81.8691,0.6417,0.1478,0.0415
HER,3,18.7340,11.1871,17.5927,8.3190,104,41.94,1.5112,0.7031,1.1964,-0.0080,14.1313,1.8083,3.6659,8.1429,0.6617
HES,6,-3.4841,25.7002,-1.1923,24.1111,132,53.23,-0.1102,-0.1134,1.0401,-0.0079,-2.7227,-0.1434,8.4216,19.2469,-9.0752
HET,5,11.8713,14.6396,16.6605,9.3951,120,48.39,0.7458,0.5177,1.4905,-0.0470,7.3249,0.9217,4.7972,10.5650,1.3409
HHB,6,-6.0733,23.0336,-6.7380,21.0350,118,47.58,-0.2419,-0.2547,1.0671,0.0070,-5.2215,-0.3024,7.5478,17.7482,-4.1338
HHE,6,1.0610,25.7507,61.3170,1.9014,110,44.35,0.0694,0.0668,-0.3836,0.0816,-4.6577,0.0792,8.4382,19.9096,14.4117
HHG,5,27.2823,4.4603,33.0377,4.2811,74,29.84,5.5075,-37.8029,0.9692,-0.0139,25.3473,10.7399,1.4616,1.6891,0.1816
HHM,6,10.0397,18.5424,44.9675,1.3175,106,42.74,0.5114,0.4232,0.0846,0.0249,0.0000,0.5917,6.0761,14.1744,1.9553
HHN,5,14.8052,17.2738,40.7276,1.3420,108,43.55,0.8045,0.6250,0.4079,-0.0014,34.0693,0.9483,5.6604,13.0122,1.2430
HHY,7,18.2683,18.0720,27.6279,12.7635,113,45.56,0.9486,0.9136,0.7781,-0.0091,22.0311,1.2815,5.9220,12.5725,1.0542
HKV,1,52.2670,2.1191,52.8859,1.5377,7,2.82,20.2844,-113.9689,0.4374,0.0961,98.2825,10.8305,0.6944,0.7971,0.0493
HLL,1,58.3758,1.8726,58.0009,1.4558,1,0.40,25.1107,227.8732,1.2096,-0.0372,38.8751,,0.6136,0.0456,0.0398
HOA,6,38.1245,20.3134,,,96,38.71,1.6153,1.4609,,,,2.1050,6.6565,13.7396,0.6191
HOY,6,29.9119,9.5082,,6.0164,98,39.52,2.7424,1.6082,,,,3.6879,3.1157,5.9188,0.3646
HPD,5,16.6126,10.6445,32.9417,8.5411,121,48.79,1.4117,1.0082,0.9253,-0.0484,16.2411,1.9062,3.4881,7.3501,0.7084
HPF,7,-0.4339,35.8809,53.0027,8.4731,113,45.56,0.1716,0.1715,0.0895,0.0089,68.8469,0.2416,11.7577,26.0617,5.8258
HPO,2,43.6747,3.3339,53.0027,1.6815,46,18.55,11.0994,-2.5484,1.2147,-0.0628,30.4642,13.1672,1.0925,1.4940,0.0901
HPT,1,51.2246,2.2060,52.7285,1.5357,13,5.24,19.1726,34.9977,0.4215,0.0962,0.0000,18.7006,0.7229,0.6299,0.0522
HPV,1,50.5877,1.6116,38.2774,1.6199,0,0.00,25.9680,251.9002,-0.1131,0.1808,0.0000,,0.5281,0.0000,0.0385
HS1,3,32.4076,6.2279,31.9394,5.5561,80,32.26,4.6204,-5.7570,1.0170,0.0007,28.2954,4.8615,2.0408,4.0179,0.2164
HSA,5,10.9455,13.1390,22.3108,12.6464,118,47.58,0.7268,0.5386,0.9261,-0.0359,10.3113,0.9242,4.3055,9.6097,1.3759
HSL,1,58.0240,1.8519,59.1337,1.5235,0,0.00,25.2739,235.7330,1.1784,-0.0359,39.7177,,0.6068,0.0000,0.0396
HST,3,28.2446,6.8951,32.9805,5.5482,80,32.26,3.7179,-0.9655,1.1673,-0.0323,21.9603,4.1349,2.2594,4.4671,0.2690
HVS,6,-3.6769,25.0053,-6.7784,26.8050,132,53.23,-0.1339,-0.1397,0.9025,0.0094,-3.7089,-0.1735,8.1939,18.8442,-7.4705
IAF,5,56.8063,13.2701,23.0478,4.5471,52,20.97,3.5501,3.8203,-0.1182,0.1968,0.0000,4.1141,4.3484,6.9914,0.2817
IAR,7,32.3388,50.4257,18.8639,13.9079,63,25.40,0.6645,-0.6115,-0.6899,0.1800,-48.5649,0.6052,16.5239,30.8978,1.5049
IAS,6,-13.1986,34.4687,53.0027,8.4731,131,52.82,-0.1358,-0.1342,0.0905,-0.0343,-51.7123,-0.2168,11.2949,23.9086,-7.3650
IBC,,29.7293,6.0550,53.0027,8.4731,75,30.24,4.3203,-6.6133,0.0331,0.0980,0.0000,4.4272,1.9841,4.0205,0.2315
IBE,7,57.5334,34.4931,53.0027,8.4731,60,24.19,1.2935,0.5182,0.0195,0.1737,0.0000,1.0949,11.3030,24.6789,0.7731
IBK,2,57.3185,1.8374,52.7018,1.5488,0,0.00,25.2260,229.6312,0.0567,0.1743,0.0000,,0.6021,0.0000,0.0396
IBR,5,43.0039,4.1764,23.0478,4.5471,11,4.44,8.8009,24.4837,0.2243,0.1272,0.0000,9.5832,1.3685,1.1466,0.1136
ICA,6,75.7078,18.1030,77.2086,21.0309,103,41.53,3.1954,4.4549,0.7966,0.0417,72.6146,5.4185,5.9321,10.4965,0.3130
ICC,4,26.6599,10.6073,28.8400,10.1135,108,43.55,2.2189,0.7770,1.0054,-0.0075,23.4093,2.8111,3.4759,7.3421,0.4507
ICD,2,43.7640,3.6402,53.0027,1.6815,49,19.76,10.0995,-8.6910,0.9562,-0.0191,38.4493,10.9468,1.1928,1.9458,0.0990
ICE,1,57.7434,1.8425,59.1337,1.5235,0,0.00,25.3183,234.4507,1.1583,-0.0327,40.2751,,0.6038,0.0000,0.0395
ICF,6,-4.0553,23.3302,-3.1464,22.7787,125,50.40,-0.1552,-0.1621,1.0053,-0.0023,-3.6025,-0.1972,7.6450,17.7347,-6.4421
ICS,6,22.7851,5.1603,23.0478,4.5471,77,31.05,4.0270,-24.8827,1.0264,-0.0030,20.2449,7.3512,1.6909,2.0451,0.2483
IDD,4,8.1259,17.8611,50.1632,1.6162,70,28.23,0.4527,0.4116,0.3043,-0.0181,26.5770,0.4769,5.8529,12.3718,2.2088
IDF,6,34.5446,3.8505,31.1188,4.5293,58,23.39,7.8516,-46.8083,0.6844,0.0454,44.1725,16.3228,1.2618,1.2511,0.1274
IDY,6,54.3797,14.5061,53.0027,1.6815,92,37.10,3.0694,1.4552,1.3280,-0.0525,33.5285,3.8894,4.7535,9.2838,0.3258
IEA,5,34.1955,4.2383,35.6504,4.4275,75,30.24,7.0522,0.8109,0.8777,0.0110,34.0553,10.2126,1.3888,2.1349,0.1418
IEB,4,32.2475,8.7136,30.4672,6.3409,95,38.31,3.2471,2.4070,0.8576,0.0214,32.9920,4.3780,2.8553,5.5935,0.3080
IEE,4,12.7698,19.7639,61.3170,1.9014,119,47.98,0.6324,0.5696,0.2991,-0.0085,41.7910,0.8042,6.4764,14.3130,1.5814
IEF,5,5.4103,22.7609,61.3170,1.9014,123,49.60,0.2512,0.2396,0.1435,-0.0052,39.8511,0.3214,7.4585,16.8046,3.9801
IEG,3,23.7293,9.6494,32.2778,5.5467,102,41.13,2.2981,0.0278,1.5636,-0.0881,14.1821,2.5809,3.1620,6.5392,0.4351
IEH,6,-7.2771,25.5948,-3.1464,22.7787,127,51.21,-0.3009,-0.3238,1.0841,-0.0176,-7.1047,-0.3907,8.3871,19.3771,-3.3231
IEK,4,15.2987,13.6060,15.0284,12.5718,113,45.56,1.0373,0.4953,1.0688,-0.0021,13.2049,1.2355,4.4585,9.9813,0.9640
IER,1,58.5448,1.9690,55.9048,1.4977,4,1.61,23.9389,185.5444,1.0219,0.0037,46.1254,75.5468,0.6452,0.1292,0.0418
IGE,5,10.1913,13.9824,11.1490,11.6856,126,50.81,0.6725,0.4940,1.1689,-0.0104,8.0442,0.8628,4.5818,10.0070,1.4871
IGL,1,57.8952,1.8463,56.1707,1.3818,1,0.40,25.3197,233.8692,1.1305,-0.0181,41.3534,,0.6050,0.0311,0.0395
IIP,6,22.9214,15.7451,53.0027,8.4731,60,24.19,1.2795,-0.1165,0.0260,0.0754,0.0000,1.0273,5.1595,11.3117,0.7816
IIS,7,40.9090,34.1817,60.6862,8.4474,62,25.00,0.9929,0.1947,0.0020,0.1343,0.0000,0.8173,11.2009,24.9295,1.0071
IMH,,-14.1332,33.3947,54.9902,1.7321,64,25.81,-0.3741,-0.4550,-0.4814,0.0360,25.9515,-0.3098,10.9430,25.7145,-2.6732
IMO,,-23.5580,43.7426,54.9902,8.3956,122,49.19,-0.4423,-0.6026,0.0653,-0.0885,0.0000,-0.4666,14.3339,35.2426,-2.2607
IMS,,25.3386,5.1630,53.0027,8.4731,83,33.47,4.3883,-1.5004,0.0083,0.0885,0.0000,5.0042,1.6918,3.3810,0.2279
IPF,6,31.8313,13.4137,41.9732,4.2385,96,38.71,2.1690,1.6931,0.7279,0.0118,39.9711,2.6377,4.3955,9.1621,0.4610
IPG,5,19.1672,12.7815,54.9902,8.3956,112,45.16,1.3411,1.0666,0.0152,0.0653,0.0000,1.7226,4.1883,9.0251,0.7457
IPP,6,48.5168,5.0957,41.9732,4.2385,73,29.44,7.7710,14.4207,-0.0818,0.1688,0.0000,13.1805,1.6698,2.2915,0.1287
ISR,,28.0287,4.2948,,,62,25.00,5.8168,-28.4308,,,,7.9351,1.4073,1.9713,0.1719
IYR,5,-9.2464,37.2868,54.9902,8.3956,75,30.24,-0.1983,-0.2163,-0.0510,-0.0202,0.0000,-0.1877,12.2184,27.5491,-5.0422
IYS,3,25.0404,10.1354,34.5571,6.3915,91,36.69,2.2246,1.0307,0.7641,-0.0011,29.5070,2.5902,3.3212,7.1106,0.4495
KIS,6,29.3947,4.8912,27.9670,5.5560,68,27.42,5.3793,-25.0339,0.5861,0.0464,44.8956,12.1333,1.6028,1.4661,0.1859
KOA,4,28.0559,7.5156,55.3076,8.4648,101,40.73,3.2761,-1.5344,0.0159,0.0949,0.0000,3.8911,2.4628,5.0298,0.3052
KOE,3,28.6348,8.1459,26.9841,5.9727,102,41.13,3.1197,-3.5463,1.2644,-0.0182,20.0988,3.4769,2.6693,5.6179,0.3205
KOP,7,41.1398,115.8621,26.1375,4.5626,71,28.63,0.6780,-2.1295,1.5952,0.1630,49.2486,1.2248,37.9665,35.0349,1.4748
KOS,3,26.8257,5.6564,42.8475,1.3285,88,35.48,4.2186,0.4598,0.7008,-0.0067,34.0508,5.0272,1.8535,3.6350,0.2370
KRC,2,52.4121,2.0445,46.4866,3.3960,8,3.23,21.0524,-40.4159,0.3083,0.1236,0.0000,14.3924,0.6700,0.7341,0.0475
KRF,5,34.8065,6.0707,52.8146,8.4902,54,21.77,4.9338,-74.3843,-0.0082,0.1203,0.0000,3.2865,1.9893,4.6898,0.2027
KRT,6,29.6483,4.3747,28.5529,4.7997,64,25.81,6.0279,-86.7198,0.8338,0.0205,31.6260,14.9631,1.4335,1.2510,0.1659
KSV,1,51.5186,1.6384,42.1409,1.3327,0,0.00,25.9334,254.9008,1.2193,-0.0053,34.8478,,0.5369,0.0000,0.0386
KSY,1,55.6504,3.5699,61.3170,1.9014,31,12.50,12.6488,14.5968,0.8484,0.0145,53.2215,16.4774,1.1698,1.3847,0.0791
KTE,7,27.1556,8.4456,,,58,23.39,2.8977,-14.6475,,,,2.4505,2.7675,5.1112,0.3451
KTM,3,36.7375,6.3815,23.3996,7.1016,83,33.47,4.9143,0.8974,0.8227,0.0568,38.1211,6.5191,2.0911,3.8910,0.2035
KTN,1,34.2643,3.5302,30.3590,2.7065,13,5.24,8.5370,-175.5416,0.0200,0.1175,0.0000,3.4261,1.1568,2.6782,0.1171
KTR,1,53.5842,1.6536,34.0968,1.9722,0,0.00,26.5267,264.5213,-0.0747,0.1829,0.0000,,0.5419,0.0000,0.0377
KTS,4,3.9572,20.2536,30.7525,7.7037,118,47.58,0.2150,0.1857,1.9448,-0.1872,2.2396,0.2499,6.6368,15.6311,4.6501
KTT,3,29.9652,4.3232,22.3588,4.5475,58,23.39,6.1347,-76.4889,0.8891,0.0332,29.8301,11.8055,1.4167,1.4028,0.1630
KTU,6,9.1329,20.4535,3.3193,23.4551,116,46.77,0.4128,0.3646,0.8453,0.0216,9.9888,0.5261,6.7024,15.1357,2.4223
KTV,1,49.4743,1.5942,32.7986,2.4069,0,0.00,25.7775,252.1858,-0.1235,0.1771,0.0000,,0.5224,0.0000,0.0388
KTZ,4,31.1687,7.2556,42.8475,1.3285,83,33.47,3.7963,-0.4912,1.1782,-0.0611,23.3784,5.0310,2.3776,4.0394,0.2634
KUB,6,31.2894,7.2370,22.8344,4.5554,83,33.47,3.8382,-12.7294,-0.0098,0.1110,0.0000,3.7267,2.3715,5.1818,0.2605
KYA,6,-14.7625,23.7991,-7.2928,26.8534,126,50.81,-0.6720,-0.7781,0.8586,-0.0399,-18.6264,-0.8961,7.7987,18.0526,-1.4882
KZL,6,79.2005,21.1875,74.1292,19.9281,104,41.94,2.8571,3.5172,1.0223,0.0071,59.2132,4.5308,6.9429,12.6858,0.3500
MAC,7,-1.2062,23.2208,-11.1679,26.9102,118,47.58,-0.0246,-0.0247,0.7245,0.0306,-0.7894,-0.0328,7.6091,17.2324,-40.6020
MAD,6,22.4788,12.9501,8.2110,17.8200,103,41.53,1.4075,1.4473,0.4767,0.0576,38.2337,1.8706,4.2436,8.7209,0.7105
MBL,2,56.1944,1.7262,40.2240,6.3456,1,0.40,26.3693,244.9266,-0.0055,0.1814,0.0000,,0.5657,0.0757,0.0379
MEA,6,83.4744,17.0014,75.6165,20.0291,101,40.73,3.6454,5.5927,0.6656,0.0918,93.1163,6.7962,5.5711,9.2824,0.2743
MHA,4,18.4944,10.6144,17.5927,8.3190,106,42.74,1.5732,0.5235,1.1706,-0.0072,14.2642,1.8472,3.4782,7.8062,0.6357
MHB,2,57.9691,2.2228,50.8745,5.1216,4,1.61,21.0478,35.4700,0.1013,0.1688,0.0000,12.5135,0.7284,0.5766,0.0475
MHC,1,52.6951,1.6768,34.6669,1.3968,0,0.00,25.8208,246.6310,0.4777,0.1144,90.6314,,0.5495,0.0000,0.0387
MHD,6,27.8525,4.4507,32.8117,4.3281,66,26.61,5.5944,-60.5135,0.9628,-0.0112,25.8620,12.9156,1.4584,1.3197,0.1787
MHE,4,20.8178,15.8355,56.0749,1.6637,107,43.15,1.2068,1.2153,0.8050,-0.0695,23.7400,1.6277,5.1891,10.6436,0.8286
MHG,3,38.9439,5.5434,32.2778,5.5467,58,23.39,6.0552,-10.9338,0.8728,0.0349,38.4569,5.7870,1.8165,3.3760,0.1651
MHH,6,-5.6155,26.1891,-3.1464,22.7787,122,49.19,-0.1768,-0.1878,1.1330,-0.0048,-4.0860,-0.2191,8.5818,19.9642,-5.6570
MHI,3,27.6057,5.3250,42.8475,1.3285,83,33.47,4.5413,-1.1610,0.5784,0.0123,41.8082,5.3610,1.7449,3.6462,0.2202
MHK,4,19.5163,9.1701,27.8837,5.9479,107,43.15,1.9485,-0.1127,1.3315,-0.0596,13.4192,2.2962,3.0049,6.4726,0.5132
MHL,2,60.9563,2.1103,55.0328,1.2730,3,1.21,23.0657,154.6668,1.1884,-0.0170,40.9605,25.7825,0.6915,0.2693,0.0434
MHM,2,46.8289,3.6230,54.5393,8.4675,42,16.94,10.7304,-25.9577,0.0411,0.1470,0.0000,10.0309,1.1872,1.8921,0.0932
MHN,4,19.0988,13.5154,55.3076,8.4648,109,43.95,1.2870,0.6786,0.0016,0.0687,0.0000,1.5316,4.4288,9.8527,0.7770
MHO,5,14.5635,16.3676,56.0759,8.4621,115,46.37,0.8458,0.4553,-0.0332,0.0610,0.0000,0.9930,5.3635,12.1309,1.1824
MHR,6,1.4770,24.3604,57.6126,8.4570,123,49.60,0.0958,0.0926,-0.0437,0.0174,-53.3547,0.1197,7.9826,18.2835,10.4417
MHS,3,29.5028,6.2508,24.6025,4.9143,95,38.31,4.1539,-0.8888,1.0168,0.0149,25.5371,5.1041,2.0483,4.5591,0.2407
MHT,5,13.8095,13.6568,11.1490,11.6856,120,48.39,0.9453,0.5049,1.1222,0.0055,11.5036,1.1400,4.4752,9.9950,1.0579
MHU,5,22.9913,14.3950,43.5542,1.3245,108,43.55,1.4579,0.8732,-0.0188,0.0860,0.0000,1.8014,4.7171,10.4662,0.6859
MHV,6,16.7614,17.4667,44.9675,1.3175,111,44.76,0.9115,0.6088,-0.3457,0.1152,-46.0553,1.1177,5.7236,12.9037,1.0970
MHY,4,16.2002,13.0975,55.3068,1.6678,112,45.16,1.1470,0.6785,-0.0103,0.0615,0.0000,1.3941,4.2919,9.5537,0.8718
MHZ,4,20.9179,8.3009,55.3076,8.4648,104,41.94,2.2857,-0.4295,0.0118,0.0732,0.0000,2.6921,2.7201,5.7798,0.4375
MPD,6,33.4710,8.5188,22.3588,4.5475,38,15.32,2.7687,-15.9865,0.8148,0.0276,28.9468,1.8352,2.7915,7.1622,0.3612
MPN,6,31.2021,4.7977,23.0478,4.5471,66,26.61,5.7687,-20.2522,0.7851,0.0444,35.2525,6.8892,1.5721,2.4661,0.1734
MPP,7,26.4784,13.5173,53.0027,8.4731,47,18.95,1.7364,-0.8198,0.0065,0.0920,0.0000,2.5825,4.4294,6.0524,0.5759
NHA,6,80.6452,18.7842,76.0033,21.0294,98,39.52,3.2427,4.7015,0.6951,0.0797,87.6350,5.5145,6.1553,10.7111,0.3084
NHM,2,45.8370,4.0836,61.1126,1.9040,62,25.00,9.4218,-0.0495,1.0050,-0.0419,38.2851,12.2113,1.3381,1.9090,0.1061
NHN,6,54.5597,12.1211,55.6033,14.9578,82,33.06,3.5983,2.6377,0.2627,0.1257,0.0000,4.7514,3.9719,7.5901,0.2779
OBP,4,24.5982,9.2068,24.0310,7.6129,103,41.53,2.4541,0.6685,0.7329,0.0262,30.8272,2.9722,3.0170,6.1179,0.4075
ODS,6,30.4947,5.3053,23.0478,4.5471,69,27.82,5.1106,-55.0866,1.0339,0.0215,26.2253,11.0489,1.7385,1.7348,0.1957
OGF,3,57.4672,1.7823,57.3337,1.7451,0,0.00,26.0535,252.9280,-0.0977,0.2020,0.0000,,0.5840,0.0000,0.0384
OHB,6,1.3154,25.4985,-3.1464,22.7787,124,50.00,0.0987,0.0966,1.1012,0.0232,2.2862,0.1295,8.3555,18.8311,10.1281
OKD,6,15.5072,16.5138,19.5538,12.6806,112,45.16,0.9051,0.7180,1.2589,-0.0284,11.8725,1.1403,5.4114,11.9812,1.1049
OKP,2,56.3241,1.9577,51.6818,1.7136,3,1.21,23.3320,167.3899,0.1031,0.1640,0.0000,57.3431,0.6415,0.2194,0.0429
OKT,3,56.8681,1.7789,46.8872,3.3912,0,0.00,25.8849,249.4379,0.0434,0.1760,0.0000,,0.5829,0.0000,0.0386
OPB,4,18.8091,9.1194,53.0027,8.4731,113,45.56,1.8201,1.6056,0.0325,0.0602,0.0000,2.5506,2.9883,6.1957,0.5494
OPD,7,56.6503,1.9875,54.5393,8.4675,3,1.21,23.0903,134.9751,0.0520,0.1729,0.0000,21.1051,0.6513,0.2968,0.0433
OPH,7,-10.5535,25.0533,-8.7889,25.3198,121,48.79,-0.4482,-0.5079,0.9206,-0.0125,-12.1983,-0.5480,8.2096,19.5114,-2.2310
OPI,6,-11.0190,23.3201,-8.7889,25.3198,117,47.18,-0.5171,-0.5933,0.8537,-0.0181,-14.1261,-0.6482,7.6417,18.1310,-1.9337
OSD,2,59.4176,1.8983,61.6395,2.0774,1,0.40,25.1257,209.2065,0.0479,0.1801,0.0000,,0.6221,0.1976,0.0398
OSF,6,56.6284,34.9479,57.6126,8.4570,36,14.52,1.4988,-7.2126,-0.0138,0.2104,0.0000,0.7045,11.4520,30.0242,0.6672
OSH,7,-10.6089,24.6272,-9.8843,25.3964,63,25.61,-0.3458,-0.4052,0.4915,-0.0141,-17.3249,-0.2923,8.0700,19.0573,-2.8921
OSL,1,54.3003,1.9449,63.0995,2.3019,4,1.61,22.8160,143.0775,0.1381,0.1490,0.0000,30.7499,0.6373,0.3163,0.0438
OTF,2,48.9973,1.5731,37.0040,1.7446,0,0.00,25.9124,252.4787,-0.1011,0.1745,0.0000,,0.5155,0.0000,0.0386
OTK,2,37.0785,10.1066,40.5981,1.3440,63,25.40,3.1679,2.8453,0.8853,0.0046,36.1627,3.6603,3.3118,6.3815,0.3157
OYL,1,57.4566,1.8503,57.7323,1.5489,2,0.81,25.0964,224.3847,1.0986,-0.0183,42.2697,0.0000,0.6063,0.0845,0.0398
OYT,6,56.9247,1.6552,53.0027,8.4731,1,0.40,27.8729,243.3507,0.0433,0.1755,0.0000,,0.5424,0.0069,0.0359
PLS,7,29.9421,6.3270,24.2836,4.5531,40,16.13,3.9829,0.9722,0.3395,0.0704,74.2250,3.8861,2.0733,3.4225,0.2511
PPD,7,-0.8734,24.1385,-8.7889,25.3198,119,47.98,0.0042,0.0041,0.9072,0.0320,0.1105,0.0050,7.9099,18.5850,240.8119
PPF,2,40.0189,6.9361,54.5393,8.4675,74,29.84,4.9367,-8.9060,0.0475,0.1274,0.0000,5.1188,2.2729,4.4435,0.2026
PRC,2,54.8488,1.7230,35.5183,1.2877,0,0.00,25.9536,251.8195,0.6934,0.0922,64.4952,,0.5646,0.0000,0.0385
PRS,2,56.9088,1.9181,52.2392,5.1435,2,0.81,24.0207,176.0549,0.1015,0.1655,0.0000,20.2608,0.6285,0.2210,0.0416
PUC,2,58.9779,2.1170,53.0027,8.4731,2,0.81,22.3990,40.2446,0.0545,0.1787,0.0000,8.5103,0.6937,0.5509,0.0446
PUD,6,26.3939,5.6848,20.8102,4.7175,68,30.09,4.6081,-8.7299,0.8208,0.0356,31.9166,5.3326,1.8628,3.2309,0.2170
PUR,1,59.2715,1.8452,53.0027,8.4731,0,0.00,25.8017,249.8327,0.0545,0.1794,0.0000,,0.6046,0.0000,0.0388
PUT,6,59.5360,4.0282,53.0027,8.4731,51,20.56,11.8072,32.7226,0.1069,0.1701,0.0000,22.4281,1.3200,1.3479,0.0847
RBA,6,82.9726,16.7987,74.1292,19.9281,94,37.90,3.6849,4.6606,0.7323,0.0786,84.5243,5.7830,5.5047,9.7654,0.2714
RBH,5,7.6399,21.5886,0.2950,21.5063,111,44.76,0.3645,0.3225,0.9723,0.0299,8.0929,0.4483,7.0743,16.3826,2.7435
RBK,4,35.9204,3.5309,28.5532,4.2084,36,14.52,8.8641,-202.3000,0.6231,0.0614,50.2271,19.1633,1.1570,0.8100,0.1128
RBT,1,50.1509,1.6056,31.1252,2.8066,0,0.00,25.8849,245.8945,-0.1414,0.1802,0.0000,,0.5261,0.0000,0.0386
RBV,1,49.5627,1.6542,37.0040,1.7446,2,0.81,24.8825,194.0265,-0.1259,0.1792,0.0000,19.5831,0.5421,0.2131,0.0402
SBS,,29.7123,4.5942,23.0478,4.5471,63,25.40,5.7610,-42.6548,0.8994,0.0301,29.4266,8.7194,1.5054,1.8976,0.1736
SKT,1,52.1860,1.9436,53.1849,1.5596,5,2.02,22.0950,111.5584,0.1742,0.1406,0.0000,21.6413,0.6369,0.3924,0.0453
SLF,1,58.1827,1.8750,56.4984,1.2980,0,0.00,25.0158,226.4841,1.0296,0.0004,45.5549,,0.6144,0.0000,0.0400
SPA,5,30.5485,4.9808,23.0478,4.5471,26,10.48,5.5102,-11.6982,0.6559,0.0543,41.8399,6.3884,1.6321,1.5653,0.1815
SPD,5,30.5308,5.0838,23.0478,4.5471,29,11.69,5.3967,-18.1597,0.7225,0.0487,37.9727,8.6603,1.6659,1.3388,0.1853
SPE,5,32.1652,4.2219,23.0478,4.5471,53,21.37,6.7915,-10.7922,0.5572,0.0674,51.4639,7.3435,1.3835,2.0622,0.1472
SPN,2,52.3096,3.3724,57.0133,1.6570,46,18.55,12.6530,30.7030,-0.4015,0.2428,0.0000,23.9464,1.1051,1.1409,0.0790
SRO,7,-22.1494,39.3912,54.5393,8.4675,83,33.47,-0.4518,-0.5432,0.1814,-0.1029,-98.0809,-0.4612,12.9080,28.4887,-2.2135
SSO,4,63.5118,2.3910,53.0027,8.4731,6,2.42,21.0469,-489.7131,0.0491,0.1912,0.0000,7.5137,0.7835,1.1373,0.0475
ST1,7,-18.0609,34.4026,-6.0020,24.0490,118,47.58,-0.5091,-0.6017,1.3052,-0.0389,-13.4183,-0.6005,11.2733,27.2449,-1.9643
STS,,30.0895,4.4610,23.0478,4.5471,59,23.79,5.9996,-58.7687,0.9014,0.0311,29.6919,9.8453,1.4618,1.6714,0.1667
STZ,,13.0924,22.0155,-4.2690,22.7893,118,47.58,0.6157,0.5138,0.9311,0.0703,14.5587,0.7978,7.2142,16.0969,1.6241
SUA,3,47.0666,3.1507,53.0027,1.6815,38,15.32,12.4124,-46.1602,0.7366,0.0281,53.0945,11.6464,1.0324,1.5402,0.0806
SUB,6,2.1246,21.4194,53.0027,1.6815,127,51.21,0.0765,0.0758,-0.2942,0.0573,-5.5715,0.1019,7.0188,15.8242,13.0684
SUC,6,28.7342,14.5277,53.0027,1.6815,103,41.53,1.7588,1.2595,-0.5596,0.1980,-45.6571,2.1882,4.7606,9.6937,0.5686
TAO,3,44.6239,9.4085,53.0027,1.6815,99,39.92,4.0090,4.6642,0.5178,0.0603,72.8495,6.2599,3.0830,5.5079,0.2494
TBT,3,13.1174,12.9831,27.9874,8.7727,106,42.74,1.0313,0.5864,1.3522,-0.0820,9.9019,1.1788,4.2544,9.1835,0.9697
TCA,6,86.1252,17.8041,74.1292,19.9281,93,37.50,3.5741,3.3656,0.6902,0.0951,92.1936,5.1440,5.8342,10.6712,0.2798
TCC,6,21.2404,11.6238,28.2267,5.4565,103,41.53,1.7024,1.6479,0.6288,0.0157,31.4691,2.3280,3.8090,7.6322,0.5874
TCI,2,64.2935,81.2876,55.6978,8.9131,6,2.42,0.9765,-3.6355,0.0342,0.3088,0.0000,0.3011,26.6369,41.0443,1.0241
TCS,6,-5.9080,26.0775,18.5949,13.5282,123,49.60,-0.1509,-0.1586,1.6927,-0.1298,-2.3246,-0.1904,8.5453,19.9156,-6.6273
TDP,6,27.4650,4.6147,29.3778,6.1882,73,29.44,5.3203,-78.2950,0.4654,0.0493,52.7574,14.9373,1.5122,1.2163,0.1880
