FONKODU,FONGETIRI,FONVOLATILITE,OLCUTGETIRI,OLCUTVOLATILITE,SHARPE,DSHARPE,BETA,ALPHA,TREYNOR,SORTINO,RMD,DOWNSIDERISK,DEGISIMKATSAYISI,RISKDEGERI
AEH,-1.2616,24.734,3.6765,22.8384,0.0722,0.0708,1.052,-0.0192,1.6971,0.094,8.105,18.3473,13.8548,6
AEI,14.1918,14.5684,13.8887,11.6323,1.0027,0.5313,1.2246,-0.0098,11.9289,1.19,4.7739,10.5455,0.9973,5
AEK,36.218,6.5786,33.4657,5.1885,4.8293,-3.7228,1.1227,-0.0058,28.298,5.3711,2.1557,4.0436,0.2071,3
AEL,31.0257,17.7223,25.3636,24.5516,2.9158,4.3914,0.5404,0.1088,95.6243,5.3718,5.8074,10.1564,0.343,6
AEN,32.0372,7.7815,35.6966,6.0764,3.6848,-5.557,1.2119,-0.037,23.6596,4.0729,2.5499,5.3509,0.2714,3
AEP,22.8696,15.2323,,,1.4561,1.249,,,,1.917,4.9914,10.6553,0.6867,5
AEU,-0.0688,26.1941,4.8801,23.5938,0.1291,0.1255,1.0927,-0.0198,3.0954,0.174,8.5835,19.2518,7.7445,6
AEY,17.6698,13.4129,13.8887,11.6323,1.3055,0.1261,1.1008,0.0086,15.9069,1.5371,4.3952,9.7871,0.766,5
AEZ,12.521,15.6198,22.6483,12.8888,0.849,0.6825,1.1142,-0.0432,11.9014,1.0922,5.1184,11.3013,1.1779,5
AFJ,48.272,3.866,55.0789,8.4667,10.422,-43.2036,0.0553,0.15,0,9.3618,1.2668,2.102,0.096,2
AFO,72.3426,19.5203,75.8721,22.0767,2.9449,3.8139,0.7978,0.0379,72.0598,4.67,6.3965,11.6345,0.3396,6
AHI,7.4674,24.4362,-1.9661,26.879,0.4234,0.3998,0.8733,0.0355,11.8461,0.5692,8.0074,17.8154,2.362,6
AHJ,59.427,1.9955,53.0919,1.5083,23.8788,181.8534,1.2069,-0.0192,39.483,70.1799,0.6539,0.139,0.0419,2
AHN,29.876,4.7161,24.8395,4.612,5.6813,-41.5236,0.8958,0.0255,29.9108,9.7904,1.5454,1.9197,0.176,7
AHU,59.6054,1.8249,59.837,1.6814,26.1723,226.0841,0.0932,0.1718,0,,0.598,0,0.0382,1
AHV,23.7491,10.7372,,,2.0791,0.1908,,,,2.1011,3.5185,6.9192,0.481,4
AHZ,17.4873,13.647,18.2405,14.1234,1.2733,0.1981,0.1425,0.0587,0,1.0657,4.4719,9.1271,0.7854,5
AIE,27.5305,13.839,43.9351,1.3797,1.863,0.9189,0.4104,0.0417,62.8161,2.2872,4.5348,9.8303,0.5368,5
AIG,28.8127,8.8649,62.0024,1.9838,2.9593,3.4126,0.8877,-0.0695,29.5538,3.5548,2.9049,4.7878,0.3379,4
AIH,5.907,30.5511,21.5738,8.1434,0.3433,0.353,-0.1768,0.0558,-59.3366,0.5654,10.0112,19.8961,2.9127,7
AII,32.8132,4.9663,22.9966,4.602,5.8575,-26.9462,0.8892,0.0405,32.716,7.6401,1.6274,2.3981,0.1707,5
AIM,15.2141,30.934,21.5738,8.1434,0.6205,0.6666,-0.1544,0.0886,0,1.0622,10.1367,19.6254,1.6116,7
AIP,24.478,16.3689,45.3444,1.3727,1.4475,0.7035,0.1539,0.0707,0,1.7393,5.3639,11.9265,0.6908,5
AIR,31.6509,5.2937,22.9966,4.602,5.3287,-15.126,0.7394,0.0497,38.1526,7.1311,1.7347,1.639,0.1877,5
AIS,46.563,1.7856,43.4086,1.3096,21.8688,119.4256,-0.0238,0.1584,0,27.3472,0.5851,0.2963,0.0457,1
AJE,26.7711,4.6254,29.8098,6.1785,5.2574,-75.3506,0.4663,0.0469,52.1455,14.807,1.5157,1.2115,0.1902,6
AJK,24.4033,4.6146,22.9966,4.602,4.8525,-47.2231,0.9511,0.0087,23.5438,11.2712,1.5121,1.5534,0.2061,6
AJL,28.8739,4.5589,27.0104,4.4854,5.7021,-74.646,0.9985,0.0061,26.0346,14.2343,1.4939,1.2569,0.1754,6
AJN,24.0261,4.6358,22.9966,4.602,4.7636,-62.3672,1.0063,0.0029,21.9448,12.8559,1.5191,1.2965,0.2099,6
AJP,23.3633,15.7364,56.6125,8.4613,1.4407,0.8409,-0.018,0.0933,0,1.8778,5.1566,11.1038,0.6941,5
AJR,9.0542,23.3512,56.5628,8.3591,0.4964,0.4141,-0.0059,0.0471,0,0.625,7.6519,17.2833,2.0144,6
AJT,43.0615,3.8541,55.0789,8.4667,9.5058,-9.0761,0.0551,0.1355,0,10.7479,1.2629,1.9492,0.1052,2
AJV,29.201,12.4236,55.8457,8.4639,2.1671,1.0581,0.0045,0.106,0,2.81,4.0711,8.445,0.4614,4
AJY,27.0153,14.036,43.13,1.4558,1.8094,0.8968,0.4856,0.0302,52.2968,2.2405,4.5994,9.9354,0.5527,5
AJZ,21.8633,16.644,44.1368,1.4849,1.2962,0.6028,0.2479,0.0489,87.0241,1.5279,5.454,12.2319,0.7715,5
AK2,19.9458,11.3468,24.9611,7.3698,1.6926,0.0196,1.452,-0.0564,13.2262,1.8022,3.7182,7.9162,0.5908,5
AK3,8.4749,24.0511,3.6765,22.8384,0.4659,0.4267,1.0337,0.0186,10.8407,0.6237,7.8812,17.4007,2.1463,6
AKE,28.2674,5.0852,31.2709,5.1079,5.0225,-0.5884,0.9209,-0.0006,27.7345,5.8598,1.6663,3.0097,0.1991,6
AKU,0.9814,25.538,5.449,24.1655,0.1675,0.1612,1.0567,-0.018,4.0483,0.2217,8.3685,18.7776,5.9699,6
