Fiyat	Fon Günlük Getiri, Logaritmik - Günlük Getiri,	2 Gün Arası Max Fiyat, 	Önceki Günün Zirvesi ile Bugünkü fiyat Karşılaştırması
24.799878	-0.003519722	-0.003525931	26.500672	-0.064179278
24.665134	-0.005433253	-0.005448066	26.500672	-0.069263828
24.671287	0.000249461	0.00024943	26.500672	-0.069031646
24.607414	-0.002588961	-0.002592318	26.500672	-0.071441886
24.695199	0.003567421	0.003561073	26.500672	-0.068129329
24.850882	0.006304181	0.006284393	26.500672	-0.062254648
24.730444	-0.004846428	-0.00485821	26.500672	-0.066799363
24.73331	0.00011589	0.000115883	26.500672	-0.066691214
24.771592	0.001547791	0.001546595	26.500672	-0.065246647
24.865351	0.00378494	0.003777796	26.500672	-0.061708662
24.964546	0.003989286	0.00398135	26.500672	-0.057965549
25.16105	0.007871323	0.007840506	26.500672	-0.050550492
25.161923	3.46965E-05	3.46959E-05	26.500672	-0.050517549
25.239737	0.00309253	0.003087758	26.500672	-0.047581246
25.187744	-0.002059966	-0.002062091	26.500672	-0.049543196
25.159449	-0.001123364	-0.001123995	26.500672	-0.050610905
25.117796	-0.001655561	-0.001656933	26.500672	-0.052182677
24.989834	-0.005094476	-0.005107497	26.500672	-0.057011309
25.100516	0.004429081	0.004419302	26.500672	-0.052834736
25.220124	0.004765161	0.004753844	26.500672	-0.048321341
25.395544	0.006955557	0.006931478	26.500672	-0.041701886
25.40908	0.000533007	0.000532865	26.500672	-0.041191106
25.46644	0.002257461	0.002254916	26.500672	-0.039026633
25.639385	0.006791094	0.006768139	26.500672	-0.032500572
25.719346	0.003118679	0.003113826	26.500672	-0.029483252
25.718995	-1.36473E-05	-1.36474E-05	26.500672	-0.029496497
25.638155	-0.003143202	-0.003148152	26.500672	-0.032546986
25.571987	-0.002580841	-0.002584177	26.500672	-0.035043828
25.709852	0.005391251	0.00537677	26.500672	-0.029841507
25.811576	0.003956616	0.003948809	26.500672	-0.026002963
25.910939	0.003849552	0.003842161	26.500672	-0.022253511
25.954794	0.001692528	0.001691098	26.500672	-0.020598647
26.025542	0.002725816	0.002722108	26.500672	-0.017928979
25.996312	-0.001123127	-0.001123759	26.500672	-0.01903197
25.904196	-0.003543426	-0.003549719	26.500672	-0.022507958
25.919373	0.00058589	0.000585718	26.500672	-0.021935255
