FONKODU,GETIRI1A,GETIRI3A,GETIRI6A,GETIRIYB,GETIRI1Y,GETIRI3Y,GETIRI5Y,RISKDEGERI
MHG,0.824,2.2265,2.2222,0.045,6.8226,46.926,74.3392,
MHH,9.9896,28.1575,28.8624,4.3026,21.6664,51.4607,135.1032,
MHI,1.2675,3.4873,4.9286,0.5393,10.5023,44.629,,
MHK,2.0626,5.3327,4.4798,0.6163,7.8898,48.7849,73.3781,
MHL,1.2136,3.2492,5.5053,0.4415,10.0364,56.5907,89.4737,
MHM,1.0041,2.66,4.8554,0.3153,9.4636,55.3143,,
MHN,5.8726,8.8859,11.4735,3.1515,8.1186,47.29,,
MHO,6.8539,11.7471,12.1379,3.6952,8.7343,37.0574,,
MHR,8.9952,17.2433,21.4103,4.2871,18.1492,31.8957,,
MHS,2.962,7.5987,8.5426,0.9127,14.9088,48.6166,81.5459,
MHT,2.289,6.6815,5.218,0.0095,7.7937,56.434,88.0695,
MHU,4.4574,10.1454,12.9537,1.4853,21.9402,50.9228,,
MHV,6.1018,18.9481,22.4631,2.2353,27.8722,58.6629,,
MHY,4.2309,10.3656,10.9926,1.9045,14.3698,52.0979,103.0515,
MHZ,1.9307,4.1088,5.2222,0.7581,10.4454,51.6413,,
MPD,-1.6158,-1.6158,8.8061,0,26.1705,,,
MPN,-0.2889,-5.5615,9.901,0,31.7641,,,
MPP,-6.2835,4.6001,10.3596,-2.2802,66.0205,147.2443,,
MVK,0,0,0,,0,,,
NHA,-6.442,-8.6528,10.1386,-3.0564,49.7106,162.0039,,
NHB,1.2911,3.4117,5.6487,0.4519,10.2505,55.8752,,
NHC,4.7234,13.1409,15.9301,1.8449,36.6212,,,
NHF,1.1868,3.3576,5.3816,0.4833,10.1306,,,
NHG,7.9007,19.9028,22.7608,3.5473,25.7895,,,
NHH,3.5432,11.7665,14.5245,1.7131,35.147,,,
NHI,4.8748,11.8689,14.0706,2.2379,15.9352,,,
NHK,1.3978,3.5661,5.7958,0.4857,10.0841,52.5722,,
NHL,7.0482,18.0271,21.6359,3.1116,18.9046,,,
NHM,1.8234,4.0335,6.1063,0.5712,12.9993,67.8665,,
NHN,8.1736,20.1434,22.4819,3.7893,24.8396,58.6113,,
NHO,1.5629,4.4663,5.6254,0.6126,10.8918,,,
NHR,4.0819,6.5381,7.747,0.5538,16.2691,,,
OBP,1.6953,8.8952,10.6676,0.9709,16.0162,62.191,92.8022,
ODS,-3.8991,-1.2172,11.4475,-0.0061,26.4726,,,
OGF,1.2854,3.565,6.3021,0.4743,11.7323,,,
OHB,10.6059,33.2839,36.9336,5.0637,35.2569,82.7987,,
OKD,4.6506,18.345,23.7714,2.8296,36.8124,99.9315,223.3099,
OKP,1.1078,3.3517,5.6107,0.5222,10.5354,,,
OKT,1.2205,3.5345,6.0915,0.5698,11.3695,64.5747,108.6143,
OPB,6.184,15.2664,22.8654,2.2913,34.1465,,,
OPD,2.7424,8.2153,11.1712,0,23.8099,,,
OPH,22.1484,44.4575,56.6275,8.6049,79.0199,,,
OPI,19.0891,36.9202,48.4386,5.2365,79.9453,,,
OSD,1.6983,5.3066,9.1342,0.5979,15.6751,66.9938,111.2486,
OSF,2.3552,12.2497,37.2897,0.3293,58.6329,78.9929,,
OSH,22.1377,32.792,22.1851,0,4.1068,,,
OSL,1.3112,3.6354,6.0609,0.5092,11.205,57.6124,92.358,
OTF,1.0009,2.6582,4.2875,0.3802,7.8855,,,
OTK,-0.2489,1.8925,7.1,0.4698,12.9225,55.6636,,
OYL,1.166,3.1968,5.3401,0.4612,9.6109,54.9404,88.543,
